N,P,K,temperature,humidity,ph,rainfall,label
65,58,41,21.714821,83.358503,6.236256,222.979526,rice
64,51,40,25.792388,82.600818,6.704363,246.228821,rice
81,56,39,21.005114,80.143913,6.510275,254.437146,rice
87,40,36,20.109085,81.752938,6.179835,227.069285,rice
77,57,38,23.854921,83.918265,5.793086,254.650404,rice
93,58,36,26.949407,82.460581,5.516489,235.096291,rice
98,47,38,24.750506,81.200728,5.151727,195.465567,rice
64,38,36,24.806561,80.9094,5.691335,287.614609,rice
78,51,36,21.442168,80.204343,5.33787,213.430841,rice
66,37,36,23.455841,81.031669,5.72854,240.410073,rice
86,35,42,24.709253,80.408795,6.747157,290.504688,rice
62,41,43,25.611948,80.922605,5.418699,224.456652,rice
78,50,38,23.46901,83.737355,5.073366,210.292433,rice
87,57,40,23.990851,80.53586,5.894825,243.914072,rice
69,41,38,20.150534,81.610396,5.422896,219.299682,rice
64,57,40,25.093267,83.945856,5.996884,190.430435,rice
80,49,42,23.237447,80.637902,5.567552,223.569876,rice
85,49,38,27.398864,83.028874,5.474454,192.213897,rice
65,41,36,21.399253,81.425476,5.346747,287.611851,rice
63,48,39,27.36784,80.560195,5.795711,296.336452,rice
93,55,37,21.281657,83.343216,6.858752,246.811547,rice
82,41,42,21.402828,81.618396,5.850873,240.913245,rice
69,37,41,22.164729,82.906191,5.308725,237.736812,rice
81,36,18,19.545769,56.267499,7.47992,76.117692,maize
92,41,21,26.74262,66.912775,6.443152,80.592046,maize
73,58,23,29.097809,57.485944,6.961735,106.917023,maize
67,36,22,24.606441,71.836576,5.779545,99.763366,maize
68,39,16,27.367609,68.303944,6.546131,77.941524,maize
95,44,23,23.050051,62.538889,6.42536,75.068894,maize
89,47,17,28.345108,62.677824,6.587106,105.323606,maize
84,37,24,25.218643,61.698112,5.778544,99.701259,maize
84,48,23,27.068868,58.033498,6.123444,72.424457,maize
89,35,20,26.768275,72.535313,6.184163,101.062865,maize
64,56,16,22.568804,70.945907,5.799835,71.46257,maize
88,53,21,25.980407,65.854489,6.003598,77.2848,maize
67,57,20,22.609791,64.240116,7.394567,67.66757,maize
83,47,21,18.208267,72.442478,7.364237,88.256659,maize
87,58,22,19.754199,66.525767,6.71343,81.206534,maize
89,58,24,23.184653,57.264761,7.469682,101.944904,maize
64,58,23,23.966638,66.825509,6.298005,62.738082,maize
73,55,15,21.83524,62.963374,6.574791,105.992781,maize
73,43,22,23.200506,59.492096,6.404879,67.042851,maize
67,47,19,28.520728,62.247878,6.661177,91.613214,maize
60,51,16,29.052309,57.973255,6.329248,64.267483,maize
99,47,20,18.771379,69.999209,5.919811,104.902714,maize
68,39,15,23.42877,66.296823,5.631417,98.776381,maize
78,48,19,22.608775,66.192807,5.81048,69.096407,maize
94,58,18,21.113564,67.879991,6.317468,61.269318,maize
66,52,21,18.311604,59.439443,5.96215,93.594637,maize
60,37,22,20.053264,68.054922,5.976366,64.97207,maize
69,53,23,27.547528,62.943671,6.83617,70.249215,maize
71,57,15,18.983348,59.157725,5.553064,69.071772,maize
83,45,23,27.400601,61.836347,6.018847,78.98462,maize
83,41,21,22.708234,66.040944,6.372253,74.723288,maize
97,54,16,27.987382,64.748624,7.289104,99.992763,maize
77,35,17,24.228793,67.669564,6.015775,66.967804,maize
93,59,20,19.974312,60.446147,5.536781,105.71494,maize
64,49,17,24.373047,68.028408,7.159484,70.321064,maize
60,38,24,28.049736,66.948262,6.701034,93.251834,maize
67,57,19,22.406093,65.378354,5.593932,68.314168,maize
89,37,21,20.821515,62.785912,6.077387,77.783636,maize
88,42,20,23.47458,68.273423,7.373659,96.628605,maize
68,35,17,24.843396,56.028516,6.492732,89.842142,maize
73,54,16,18.864084,69.563775,6.490983,94.42012,maize
77,41,23,27.193283,68.893929,6.04429,89.511533,maize
74,37,24,19.573414,74.004747,6.392012,69.256646,maize
81,56,22,27.275453,68.175667,6.884553,102.459783,maize
69,47,17,29.358182,73.881187,5.578854,95.278759,maize
97,39,20,28.528115,55.67892,6.894841,74.86745,maize
96,59,24,23.453463,72.240853,7.189099,75.955024,maize
93,35,20,20.645102,57.411338,5.653906,94.814439,maize
73,53,15,21.625839,65.789826,7.081446,75.937625,maize
85,57,21,20.679034,55.488016,7.240198,61.063471,maize
94,48,24,27.186007,74.958682,6.201424,98.359414,maize
76,46,21,28.047287,74.681669,7.036547,80.888339,maize
76,53,17,19.270452,62.092443,6.074478,74.815406,maize
69,36,15,29.358807,63.555463,6.268653,93.982364,maize
68,58,22,19.028227,63.351616,7.258237,107.236601,maize
78,50,16,29.398439,59.633434,7.385464,92.482332,maize
84,47,17,20.030072,59.409724,5.872877,98.979224,maize
74,36,24,28.163538,73.555046,7.489816,68.694762,maize
75,53,21,19.769803,71.316662,5.948881,71.190881,maize
81,49,20,19.052099,72.549217,6.0312,66.475746,maize
95,58,23,27.309435,68.10484,6.601715,64.349338,maize
76,44,17,26.319331,64.917515,5.662092,71.00916,maize
87,36,23,23.694185,64.611732,6.684816,101.234048,maize
73,51,20,21.070825,72.5726,7.094852,92.922592,maize
94,56,22,27.625653,68.949429,6.860282,90.930569,maize
90,38,23,28.026201,55.584946,7.151634,66.443493,maize
73,53,16,27.406621,71.642684,6.514935,60.319294,maize
71,50,24,25.265856,60.196072,6.768011,86.999269,maize
91,37,22,24.224566,74.25984,6.183744,91.631095,maize
97,37,24,25.910686,56.356741,6.101927,95.408604,maize
62,49,18,25.140528,55.914841,7.243074,108.674448,maize
98,53,16,26.720027,55.491738,5.544247,76.180511,maize
79,54,21,23.127881,60.472533,7.494249,81.309065,maize
78,39,22,25.977346,59.415392,5.664762,94.024965,maize
86,41,24,19.737166,63.646696,7.387232,80.986366,maize
85,44,17,29.315743,63.18668,7.288198,71.49773,maize
68,35,21,22.238053,72.287165,6.44642,108.409671,maize
67,56,22,26.865601,71.895665,7.022048,91.311016,maize
65,35,24,25.091479,70.930746,6.463045,65.865409,maize
65,52,19,20.306034,64.831891,5.628418,89.09857,maize
70,54,18,23.235032,55.232411,5.644894,79.624678,maize
79,50,17,25.992292,72.202448,7.059702,61.980941,maize
79,37,17,29.34662,57.849911,6.497776,90.907787,maize
88,48,15,21.754305,65.354233,5.675733,77.531347,maize
61,36,18,19.526231,66.350817,6.87893,100.029335,maize
68,39,16,25.318948,69.129515,5.563172,106.810612,maize
62,48,22,28.016145,69.281739,7.103456,76.97251,maize
92,37,23,24.297312,71.345955,6.404637,92.178885,maize
81,53,15,18.694049,59.942065,5.819089,103.589178,maize
68,59,18,20.094356,70.79397,6.817416,84.909786,maize
82,52,17,29.45784,74.495863,6.800651,69.977123,maize
87,36,15,20.963353,64.252459,7.236545,96.358453,maize
89,45,18,22.266946,74.752991,5.580218,103.351575,maize
83,45,22,23.596693,72.468465,7.301404,81.086046,maize
71,49,24,20.422615,67.459332,6.76312,96.655651,maize
65,52,24,20.066356,59.750866,7.44279,69.048848,maize
94,47,17,28.013624,63.906105,6.529635,77.961668,maize
83,39,18,29.148242,60.162669,6.813473,76.259503,maize
90,38,24,23.21858,59.721009,5.646993,68.487895,maize
80,43,23,22.955207,59.974285,6.73429,95.338861,maize
26,59,75,19.945608,17.982827,7.186577,90.325113,chickpea
52,69,83,17.823365,14.671518,6.674374,66.712606,chickpea
41,78,75,17.48844,16.713194,8.334688,74.484683,chickpea
40,56,76,20.94652,19.790712,6.01235,93.554354,chickpea
45,76,79,19.062384,16.933079,7.667161,69.189538,chickpea
21,62,82,17.807414,18.040595,8.42478,67.817021,chickpea
46,66,83,17.708599,18.155756,8.095288,93.338427,chickpea
47,67,81,20.47562,17.423658,6.075968,92.928461,chickpea
47,71,77,19.635542,16.363186,7.628082,68.197791,chickpea
46,79,75,20.908697,16.441448,8.176884,88.471565,chickpea
42,73,83,18.616561,15.962199,7.668983,89.235378,chickpea
50,74,79,20.271337,14.721254,7.361223,65.17276,chickpea
32,64,78,19.781869,16.331349,7.121734,72.126324,chickpea
34,60,75,19.413794,18.009277,7.548726,78.904821,chickpea
35,76,80,18.916728,14.153852,6.85312,76.405869,chickpea
35,69,80,19.43162,18.5893,8.032464,86.543692,chickpea
58,55,76,17.030251,17.884848,8.245076,72.304469,chickpea
57,56,84,18.406491,14.608525,7.214679,72.703297,chickpea
31,62,83,19.156645,15.867846,7.525834,86.48452,chickpea
30,65,76,17.724597,18.086707,6.453596,80.754902,chickpea
48,57,80,18.026251,19.777561,7.208864,89.179776,chickpea
42,56,81,20.805613,17.609671,8.047972,91.526194,chickpea
29,60,81,18.644114,19.039168,8.250058,75.602641,chickpea
29,74,77,20.290457,16.54243,7.668875,67.866059,chickpea
44,66,80,17.672057,18.421242,8.156993,71.502194,chickpea
23,55,81,19.428376,17.280184,6.579868,76.72718,chickpea
43,67,84,17.545759,18.170867,7.010797,77.845988,chickpea
48,72,84,17.513577,14.624658,7.810847,82.351608,chickpea
30,56,75,20.576763,15.151204,6.808429,71.799692,chickpea
34,56,80,17.27045,18.802139,6.58428,81.200357,chickpea
55,71,80,18.297335,15.998011,7.673717,94.824181,chickpea
46,68,82,18.860822,14.360854,7.405742,93.728759,chickpea
27,72,77,19.143311,14.580059,7.125927,87.6849,chickpea
33,71,82,20.708711,15.407852,6.99829,69.57248,chickpea
59,78,80,20.368133,17.125748,7.558964,67.673733,chickpea
50,58,83,20.128112,18.252468,6.090401,74.093851,chickpea
30,64,75,20.747831,17.322813,6.763811,76.909446,chickpea
37,70,80,20.677568,16.981781,8.480395,90.542749,chickpea
28,78,76,20.269799,16.28374,8.194936,91.041701,chickpea
52,74,78,17.323677,16.417881,6.433811,85.848533,chickpea
33,79,81,20.289922,14.795148,8.155036,92.682716,chickpea
39,70,82,17.699355,17.015396,6.996658,69.39122,chickpea
34,56,75,17.540665,19.778691,7.373824,93.974665,chickpea
37,62,80,18.758047,14.633988,7.602066,71.481145,chickpea
44,71,76,17.245399,18.68457,7.149501,66.744914,chickpea
59,56,81,20.934716,15.435081,6.355623,68.641548,chickpea
32,57,81,17.249167,17.056533,8.491742,89.419108,chickpea
44,62,81,19.108166,16.5565,6.326776,91.598126,chickpea
37,59,78,18.656519,18.965227,7.834036,88.079147,chickpea
20,65,79,17.076769,15.558879,7.900725,69.113291,chickpea
41,60,75,17.964806,19.855243,8.003843,93.787299,chickpea
39,57,80,18.817509,19.066142,6.245206,79.647234,chickpea
26,63,82,18.904073,16.25533,6.986191,78.783403,chickpea
51,77,84,20.147614,15.892441,7.720337,78.128094,chickpea
30,76,75,20.607048,16.768865,7.593004,84.780618,chickpea
55,70,81,17.266608,17.110448,6.375423,87.123013,chickpea
40,72,75,17.339168,18.29794,6.180211,67.137702,chickpea
20,78,82,18.413006,15.779213,6.874258,88.239606,chickpea
46,59,76,17.393583,17.961816,7.910932,72.951393,chickpea
20,57,84,18.181779,18.615339,7.561659,76.458189,chickpea
28,58,81,20.098535,17.863426,7.325755,66.258537,chickpea
58,74,77,20.919881,17.61129,7.456057,87.442195,chickpea
52,71,76,18.35307,19.568502,6.561539,76.165011,chickpea
37,65,81,20.772303,15.444156,6.303753,70.924115,chickpea
55,71,77,20.263788,19.16822,8.116286,92.567796,chickpea
30,73,79,20.367994,18.370944,7.941119,84.684855,chickpea
27,68,84,20.749552,14.259042,6.412037,68.951863,chickpea
49,75,77,19.023411,19.044218,7.832004,81.267116,chickpea
43,67,77,19.260088,18.133312,8.183307,84.088741,chickpea
50,59,79,17.037326,15.480073,7.816154,94.754299,chickpea
23,65,83,17.816143,17.33051,7.832678,83.479564,chickpea
27,63,82,19.216906,14.031378,7.902477,66.059341,chickpea
49,60,84,18.471763,15.96159,6.37222,74.168126,chickpea
55,79,78,18.794443,18.332426,8.215489,82.79133,chickpea
35,65,81,17.012873,17.717536,6.888733,88.82592,chickpea
23,69,79,19.569302,14.389122,7.449959,81.844538,chickpea
42,70,81,20.219956,15.618924,8.062624,79.94767,chickpea
23,56,78,20.139588,18.246086,7.971537,80.518072,chickpea
37,58,78,18.736077,14.531603,6.55153,82.946759,chickpea
49,79,84,19.570261,16.527488,7.590443,88.569549,chickpea
24,65,83,18.535332,17.431234,7.469423,70.534288,chickpea
34,63,75,17.096767,18.990182,6.682677,80.542363,chickpea
31,78,77,18.718627,19.236382,8.104834,70.583043,chickpea
52,66,79,17.53392,14.483609,7.819848,79.893835,chickpea
37,73,82,17.635633,17.661351,6.338385,87.541253,chickpea
46,78,75,17.228219,15.693122,6.654264,72.409364,chickpea
56,61,77,20.037593,16.698439,7.941776,66.960985,chickpea
39,55,75,20.62575,14.835472,7.331052,77.332868,chickpea
33,77,75,19.655159,19.780367,7.40042,93.104674,chickpea
22,65,77,19.923284,19.887783,6.641325,84.625238,chickpea
27,69,79,20.888021,17.651164,6.873766,68.422874,chickpea
26,60,77,20.402464,17.367337,7.308477,68.443066,chickpea
54,73,75,19.83134,17.261229,6.204313,78.749019,chickpea
39,59,84,20.399901,18.014134,7.155739,77.352966,chickpea
46,68,75,19.050011,18.838422,7.1481,66.558697,chickpea
51,60,77,17.658825,15.98129,7.891879,80.581576,chickpea
28,76,83,20.482314,15.432777,7.128098,94.54969,chickpea
50,55,75,18.855726,19.455321,7.346754,79.934375,chickpea
24,71,83,18.52168,18.653671,8.411192,71.112994,chickpea
40,62,82,19.310373,17.807495,7.994785,76.879114,chickpea
37,68,16,21.958991,23.552829,5.658381,137.146133,kidneybeans
37,61,24,16.407115,19.41411,5.592112,140.459074,kidneybeans
31,58,19,21.15298,18.584249,5.941208,132.324318,kidneybeans
27,79,19,24.841103,22.67544,5.817336,74.935941,kidneybeans
37,65,16,15.126075,21.91829,5.7637,124.741826,kidneybeans
37,56,22,16.874119,24.007239,5.909532,108.671438,kidneybeans
32,62,19,23.216369,21.214856,5.678899,104.47912,kidneybeans
35,63,16,22.12014,23.781847,5.550319,81.58867,kidneybeans
18,63,19,22.488263,22.558033,5.810464,91.713745,kidneybeans
36,66,24,21.341421,18.883853,5.838089,89.259361,kidneybeans
32,56,16,23.557373,19.590257,5.918521,85.134848,kidneybeans
31,72,20,18.053107,19.488511,5.516595,87.355176,kidneybeans
31,78,23,22.660648,23.519131,5.832492,83.425817,kidneybeans
37,71,20,16.109895,21.129389,5.730179,137.810725,kidneybeans
28,64,24,16.107206,20.957839,5.521012,126.591371,kidneybeans
37,62,23,17.922182,24.375391,5.876981,132.44161,kidneybeans
15,79,22,18.047511,23.805763,5.640761,138.547846,kidneybeans
17,72,20,15.965345,19.693257,5.506202,102.189117,kidneybeans
22,69,17,17.999191,23.202352,5.524071,141.26055,kidneybeans
36,71,20,23.923025,19.297311,5.539485,81.555915,kidneybeans
34,55,20,24.954375,23.989873,5.760723,65.727682,kidneybeans
35,69,16,15.938573,24.367388,5.8346,134.635812,kidneybeans
36,69,20,19.304274,20.218626,5.717298,129.649169,kidneybeans
30,77,19,21.070896,22.419153,5.795849,123.23704,kidneybeans
20,67,16,18.845113,21.413669,5.826112,145.547795,kidneybeans
30,73,20,21.34104,18.496526,5.627196,92.566778,kidneybeans
26,56,16,17.768143,24.800729,5.665674,103.383695,kidneybeans
19,70,17,17.069926,21.616008,5.502753,60.689763,kidneybeans
20,55,16,18.388606,23.6181,5.786024,106.140095,kidneybeans
22,78,18,15.870928,22.319466,5.556919,91.070083,kidneybeans
27,76,19,22.022588,24.949718,5.565745,84.725837,kidneybeans
24,65,19,24.07611,22.998229,5.803953,87.843545,kidneybeans
35,78,23,15.015651,22.45481,5.525568,83.18465,kidneybeans
16,70,21,16.144876,20.686872,5.728118,93.214772,kidneybeans
18,65,22,15.710077,18.56126,5.677386,144.755314,kidneybeans
31,71,18,20.936608,18.070918,5.818048,142.195825,kidneybeans
30,76,22,16.205584,24.317173,5.533222,108.057073,kidneybeans
18,55,19,17.950407,21.402003,5.7886,63.936517,kidneybeans
18,68,18,22.291735,22.566042,5.922802,122.324354,kidneybeans
25,71,17,18.063135,23.522896,5.72321,131.854231,kidneybeans
35,76,24,19.309852,20.232068,5.791099,93.405518,kidneybeans
30,72,21,18.745529,19.168021,5.715265,72.833473,kidneybeans
37,63,16,15.254478,22.520757,5.818451,90.654375,kidneybeans
16,65,18,21.771206,22.240455,5.682297,79.61033,kidneybeans
39,66,21,16.40553,21.399128,5.513768,105.490961,kidneybeans
39,64,15,15.309558,20.715907,5.580012,62.101689,kidneybeans
33,66,17,24.000832,18.812973,5.977959,88.257005,kidneybeans
37,70,23,24.840132,20.018838,5.980568,95.053371,kidneybeans
24,63,20,16.54145,21.87598,5.770852,128.571163,kidneybeans
35,66,18,17.593349,19.362367,5.528824,90.820318,kidneybeans
21,79,20,18.47277,22.063273,5.569598,99.963937,kidneybeans
30,67,19,24.938484,24.162203,5.811703,111.243963,kidneybeans
30,60,18,15.394595,21.328822,5.771512,80.497476,kidneybeans
39,77,22,20.333866,24.089784,5.565326,131.145881,kidneybeans
18,74,17,23.770906,24.608295,5.574398,101.640804,kidneybeans
39,67,23,20.887315,20.627309,5.642892,78.290078,kidneybeans
34,64,20,19.923255,22.040953,5.932789,148.266541,kidneybeans
25,75,22,20.73529,24.69233,5.600237,69.833779,kidneybeans
36,65,23,23.930902,18.437203,5.941732,100.348715,kidneybeans
27,70,24,15.191161,21.337904,5.843861,125.043626,kidneybeans
32,58,17,18.587155,23.63106,5.63938,78.963447,kidneybeans
38,55,24,21.768213,23.799285,5.64731,61.288375,kidneybeans
33,75,22,16.428503,23.273995,5.884461,119.268646,kidneybeans
34,76,21,15.886047,21.413395,5.538825,96.678873,kidneybeans
25,56,18,16.109981,23.657646,5.973844,66.508483,kidneybeans
38,68,17,15.768621,21.50437,5.897258,123.637783,kidneybeans
16,56,19,17.952905,19.62669,5.640502,132.313447,kidneybeans
38,65,24,18.214957,21.335059,5.613014,117.642844,kidneybeans
39,70,18,21.478174,18.860445,5.94433,105.277556,kidneybeans
26,69,21,15.717758,22.778321,5.620966,124.255737,kidneybeans
35,75,20,20.201699,19.000132,5.887673,84.426844,kidneybeans
27,62,16,21.295577,18.380324,5.874323,88.582812,kidneybeans
15,67,15,17.761696,22.948835,5.531345,135.540464,kidneybeans
15,61,22,18.162701,18.713247,5.680117,84.335396,kidneybeans
36,62,22,23.918721,21.036722,5.954972,93.958625,kidneybeans
39,57,21,19.93814,20.713542,5.816356,123.347138,kidneybeans
15,59,22,21.663854,24.762333,5.880519,145.569544,kidneybeans
32,62,16,22.818239,22.509045,5.524093,92.404542,kidneybeans
38,67,19,19.576996,19.462179,5.684354,93.283193,kidneybeans
16,74,19,23.221799,23.952436,5.605997,119.161813,kidneybeans
26,77,17,21.778132,22.254265,5.647651,72.294081,kidneybeans
31,73,18,21.448326,20.765916,5.856603,77.929375,kidneybeans
37,62,18,15.58092,18.780585,5.757931,84.083341,kidneybeans
35,55,18,18.373455,18.135293,5.562184,97.227841,kidneybeans
27,65,20,20.951317,18.069467,5.732048,146.714932,kidneybeans
27,71,18,22.739914,23.41045,5.760648,147.841244,kidneybeans
18,55,22,23.071555,18.841451,5.632791,61.579713,kidneybeans
22,74,20,18.480956,20.602175,5.500677,86.982047,kidneybeans
31,79,23,15.23595,24.289924,5.891599,130.233851,kidneybeans
26,64,18,15.656949,19.597648,5.623302,103.566936,kidneybeans
33,66,15,24.577898,24.59907,5.892595,149.219511,kidneybeans
28,79,15,18.656807,19.577669,5.597917,72.672265,kidneybeans
30,74,20,16.469627,23.677866,5.817977,94.934914,kidneybeans
31,61,18,24.174858,20.033532,5.734994,140.112702,kidneybeans
32,56,16,15.078416,22.416453,5.723837,72.084737,kidneybeans
38,68,17,20.006036,22.757342,5.53812,84.723343,kidneybeans
35,66,20,19.32816,18.3073,5.582875,100.098747,kidneybeans
20,56,23,24.811925,23.552,5.926892,81.777942,kidneybeans
39,59,24,24.948193,22.98206,5.990572,111.25858,kidneybeans
21,65,20,15.730816,22.356403,5.990589,77.109688,kidneybeans
34,77,24,37.202712,50.858386,7.431924,173.304123,pigeonpeas
19,66,22,22.946806,55.624607,6.499801,107.896972,pigeonpeas
29,74,19,18.242062,30.361539,5.571088,191.881348,pigeonpeas
20,70,17,24.4334,63.921684,6.686584,100.493921,pigeonpeas
25,55,19,31.24868,34.740105,5.366655,133.762029,pigeonpeas
37,79,15,33.220158,44.868963,5.677375,172.969147,pigeonpeas
37,78,20,25.142423,61.501963,5.253004,152.048143,pigeonpeas
23,71,17,21.831859,66.729563,4.805411,145.65537,pigeonpeas
20,55,15,21.504435,64.670814,5.347436,194.550509,pigeonpeas
29,65,20,28.333968,60.35105,5.347488,128.835543,pigeonpeas
37,78,23,26.38896,61.21462,5.929007,144.729384,pigeonpeas
20,69,16,24.631294,64.201208,5.121227,97.827411,pigeonpeas
16,78,20,26.188241,62.435143,7.007478,126.541014,pigeonpeas
32,74,21,21.031901,65.035323,6.117284,121.071967,pigeonpeas
25,55,16,33.310935,30.000465,5.749697,147.47612,pigeonpeas
16,79,17,24.083974,42.1577,5.19125,90.16212,pigeonpeas
33,79,17,31.260944,59.675853,7.045276,136.489212,pigeonpeas
22,63,22,34.335589,37.264559,5.612823,189.213422,pigeonpeas
35,79,22,25.863904,53.625513,6.483043,98.63014,pigeonpeas
28,72,16,33.612634,53.350911,7.356665,94.666453,pigeonpeas
21,70,17,32.288483,60.360211,4.807548,146.523991,pigeonpeas
27,64,24,34.550126,57.888375,6.64298,140.788776,pigeonpeas
38,72,22,35.233818,40.962864,6.921213,111.476466,pigeonpeas
23,63,24,35.130744,58.046794,6.68117,151.828007,pigeonpeas
38,67,18,21.260707,61.448226,6.703332,132.279054,pigeonpeas
15,75,15,32.073996,68.810284,5.812984,115.847075,pigeonpeas
32,75,20,37.340706,32.066749,6.014387,169.029934,pigeonpeas
36,59,23,29.054142,45.862147,4.895145,185.182533,pigeonpeas
18,62,17,35.428281,56.90812,6.890044,117.551469,pigeonpeas
30,69,23,36.121741,30.486271,6.52206,95.701938,pigeonpeas
28,62,18,25.05917,54.851698,5.50215,170.596896,pigeonpeas
25,56,22,23.715166,47.310675,6.556332,126.570177,pigeonpeas
16,64,24,30.834688,56.859166,6.396846,111.889135,pigeonpeas
25,73,16,23.557056,41.052764,5.796057,197.840562,pigeonpeas
16,67,16,37.413531,34.53214,5.710803,171.167348,pigeonpeas
32,65,18,25.952248,40.571051,5.115999,143.134367,pigeonpeas
21,62,21,37.370747,54.145488,4.730938,98.314198,pigeonpeas
38,62,15,29.980892,54.945951,6.445514,119.414223,pigeonpeas
15,79,17,31.520526,58.265195,6.330022,124.419813,pigeonpeas
21,69,23,36.934675,34.236232,4.964486,193.920988,pigeonpeas
33,77,17,29.751717,58.045584,6.540336,134.896686,pigeonpeas
15,69,17,27.005085,68.303241,5.697106,182.378177,pigeonpeas
19,71,24,20.037862,30.332798,5.800748,100.188803,pigeonpeas
33,77,19,23.174233,47.376133,6.670343,90.995958,pigeonpeas
29,70,21,22.840442,58.562109,4.774174,111.919737,pigeonpeas
36,73,15,22.967525,38.576259,5.312419,117.231575,pigeonpeas
16,66,22,30.134634,56.914867,4.743448,194.663978,pigeonpeas
35,75,23,36.65421,51.770159,5.100846,157.846197,pigeonpeas
33,73,20,19.369174,44.844518,7.2623,154.28938,pigeonpeas
28,61,18,35.906922,56.658522,6.862161,139.977997,pigeonpeas
30,61,22,26.552027,47.701821,6.447967,192.990868,pigeonpeas
